Cn code,Sequence num,Amount,Measure description,Unit amount,Type of unit,Source code,Date added,Last modified
1118,3,1,cup (8 fl oz),245,g,1,2013-12-23,2013-12-23
1119,1,1,container (6 oz),170,g,1,1997-08-29,2013-12-26
1119,2,1,container (8 oz),227,g,1,1994-09-29,2006-11-30
1119,3,1,cup (8 fl oz),245,g,1,2013-12-23,2013-12-23
1120,1,1,container (6 oz),170,g,1,1997-08-29,2013-12-26
1120,2,1,container (4.4 oz),125,g,1,1994-09-29,2006-11-30
1120,3,1,container (5 oz),142,g,1,2002-09-06,2006-11-30
1120,4,1,cup (8 fl oz),245,g,1,2002-09-06,2013-12-26
1120,5,1,container (8 oz),227,g,1,2002-09-06,2006-11-30
1120,6,0.5,container (4 oz),113,g,1,2002-09-06,2006-11-30
1121,1,1,container (6 oz),170,g,1,1997-08-29,2013-12-26
1121,2,1,cup (8 fl oz),245,g,1,1998-01-15,2013-12-26
1121,3,1,container (8 oz),227,g,1,1994-09-29,2006-11-30
1121,5,1,"container, Dannon Sprinkl'ins (4.1 oz)",116,g,1,2002-09-06,2006-11-30
1121,6,0.5,container (4 oz),113,g,1,2002-09-06,2006-11-30
1122,1,1,container (6 oz),170,g,1,1997-08-29,2013-12-26
1122,2,0.5,container (4 oz),113,g,1,1994-09-29,2006-11-30
1122,3,1,container (8 oz),227,g,1,2013-12-23,2013-12-23
1123,1,1,large,50,g,1,2007-11-27,2013-12-26
1123,2,1,extra large,56,g,1,2007-11-27,2007-11-27
1123,3,1,jumbo,63,g,1,2007-11-27,2007-11-27
1123,5,1,cup (4.86 large eggs),243,g,1,2007-11-27,2013-12-26
1123,6,1,medium,44,g,1,2007-11-27,2007-11-27
1123,7,1,small,38,g,1,2007-11-27,2007-11-27
1124,1,1,large,33,g,1,1994-01-31,2013-12-26
1124,2,1,cup,243,g,1,2002-09-06,2013-12-26
1125,1,1,large,17,g,1,1994-01-31,2013-12-26
1125,2,1,cup,243,g,1,2002-09-06,2013-12-26
1126,1,1,oz,28.35,g,1,1994-01-31,2013-12-26
1126,2,0.5,lb,227,g,1,2013-12-23,2013-12-23
1127,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1127,2,0.5,lb,227,g,1,2013-12-23,2013-12-23
1128,1,1,large,46,g,1,1994-01-31,2006-11-30
1129,1,1,"cup, chopped",136,g,1,1994-01-31,2006-11-30
1129,2,1,TBSP,8.5,g,1,2002-09-06,2006-11-30
1129,3,1,large,50,g,1,2002-09-06,2006-11-30
1130,1,1,TBSP,15,g,1,1994-01-31,2006-11-30
1130,2,1,large,61,g,1,2002-09-06,2006-11-30
1131,1,1,large,50,g,1,1994-01-31,2006-11-30
1132,1,1,large,61,g,1,1994-01-31,2013-12-26
1132,2,1,TBSP,13.7,g,1,2002-09-06,2006-11-30
1132,3,1,cup,220,g,1,2002-09-06,2013-12-26
1133,1,1,"cup, sifted",85,g,1,1994-01-31,2006-11-30
1133,2,1,TBSP,5,g,1,2002-09-06,2006-11-30
1134,1,1,"cup, sifted",85,g,1,2013-12-23,2013-12-23
1134,2,1,tbsp,5,g,1,2013-12-23,2013-12-23
1135,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1135,2,0.5,lb,227,g,1,2013-12-23,2013-12-23
1136,1,1,"cup, sifted",107,g,1,1994-01-31,2006-11-30
1136,2,1,tbsp,7,g,1,1997-08-29,2009-02-11
1137,1,1,"cup, sifted",67,g,1,1994-01-31,2006-11-30
1137,2,1,TBSP,4,g,1,2002-09-06,2006-11-30
1138,1,1,egg,70,g,1,2013-12-23,2013-12-23
1139,1,1,egg,144,g,1,2013-12-23,2013-12-23
1140,1,1,egg,9,g,1,2013-12-23,2013-12-23
1141,1,1,egg,79,g,1,2013-12-23,2013-12-23
1144,1,0.35,oz,9.9,g,1,1999-03-22,2006-11-30
1144,2,0.7,oz,20,g,1,2007-11-28,2007-11-28
1145,1,1,"pat (1"" sq, 1/3"" high)",5,g,1,1994-09-29,2013-12-26
1145,2,1,TBSP,14.2,g,1,1998-01-15,2006-11-30
1145,3,1,cup,227,g,1,2002-09-06,2013-12-26
1145,4,1,stick,113,g,1,2002-09-06,2006-11-30
1146,1,1,TBSP,5,g,1,1994-11-17,2006-11-30
1151,1,1,CUP,245,g,1,1994-01-31,2006-11-30
1151,2,1,quart,980,g,1,1997-08-29,2006-11-30
1152,1,1,cup,245,g,1,2013-12-23,2013-12-23
1152,2,1,quart,980,g,1,2013-12-23,2013-12-23
1153,1,1,FL OZ,31.5,g,1,1994-01-31,2010-01-05
1153,2,0.5,CUP,126,g,1,1997-08-29,2006-11-30
1154,1,0.25,CUP,30,g,1,1994-01-31,2015-01-07
1154,2,1,CUP,120,g,1,2007-11-28,2015-01-07
1155,1,1,CUP,68,g,1,1994-01-31,2006-11-30
1155,2,1,envelope (1-1/3 cup),91,g,1,1997-08-29,2006-11-30
1156,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1157,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1159,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1160,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1160,2,0.5,lb,227,g,1,2013-12-23,2013-12-23
1161,1,1,"cup, shredded",113,g,1,2007-11-28,2007-11-28
1161,2,1,oz,28.35,g,1,1995-06-19,2006-11-30
1161,3,1,cubic inch,18,g,1,2007-11-28,2007-11-28
1161,4,1,slice,28,g,1,2007-11-28,2007-11-28
1161,5,3,oz,85,g,1,2007-11-28,2007-11-28
1164,1,2,tbsp,30,g,1,2013-12-23,2013-12-23
1164,2,1,cup,243,g,1,2013-12-23,2013-12-23
1165,1,1,"cup, crumbled",132,g,1,1994-11-02,2006-11-30
1165,2,1,oz,28.35,g,1,2002-09-06,2006-11-30
1166,1,1,"cup, diced",132,g,1,1997-08-29,2006-11-30
1166,2,1,"cup, shredded",113,g,1,1994-11-02,2006-11-30
1166,3,1,oz,28.35,g,1,1998-01-15,2006-11-30
1166,4,1,cubic inch,18,g,1,2002-09-06,2006-11-30
