Cn code,Sequence num,Amount,Measure description,Unit amount,Type of unit,Source code,Date added,Last modified
16004,1,1,slice,14,g,1,12/23/2013,12/23/2013
16005,1,1,cup,253,g,1,12/23/2013,12/23/2013
16006,1,1,CUP,254,g,1,01/31/1994,11/30/2006
16007,1,1,cup,266,g,1,12/23/2013,12/23/2013
16008,1,1,cup,259,g,1,12/23/2013,12/23/2013
16009,1,1,CUP,253,g,1,01/31/1994,11/30/2006
16010,1,1,CUP,249,g,1,01/31/1994,06/19/2015
16011,1,1,CUP,246,g,1,01/31/1994,02/11/2009
16014,1,1,cup,194,g,1,12/23/2013,12/23/2013
16014,2,1,tbsp,12.1,g,1,12/23/2013,12/23/2013
16015,1,1,CUP,172,g,1,11/17/1994,11/30/2006
16016,1,1,cup,184,g,1,12/23/2013,12/23/2013
16017,1,1,cup,185,g,1,12/23/2013,12/23/2013
16018,1,1,cup,240,g,1,12/23/2013,12/23/2013
16019,1,1,cup,195,g,1,12/23/2013,12/23/2013
16020,1,1,cup,177,g,1,12/23/2013,12/23/2013
16021,1,1,cup,260,g,1,12/23/2013,12/23/2013
16022,1,1,cup,184,g,1,12/23/2013,12/23/2013
16023,1,1,cup,177,g,1,12/23/2013,12/23/2013
16024,1,1,CUP,183,g,1,01/31/1994,11/30/2006
16025,1,1,CUP,177,g,1,01/31/1994,11/30/2006
16026,1,1,CUP,262,g,1,01/31/1994,11/30/2006
16027,1,1,CUP,184,g,1,01/31/1994,11/30/2006
16028,1,1,CUP,177,g,1,01/31/1994,11/30/2006
16028,2,1,TBSP,11,g,1,09/06/2002,11/30/2006
16029,1,1,CUP,256,g,1,01/31/1994,03/25/2007
16030,1,1,cup,184,g,1,12/23/2013,12/23/2013
16031,1,1,cup,177,g,1,12/23/2013,12/23/2013
16032,1,1,cup,184,g,1,12/23/2013,12/23/2013
16032,2,1,tbsp,12.2,g,1,12/23/2013,12/23/2013
16033,1,1,CUP,177,g,1,01/31/1994,11/30/2006
16033,2,1,TBSP,11,g,1,09/06/2002,11/30/2006
16034,1,1,CUP,256,g,1,01/31/1994,11/30/2006
16034,2,1,TBSP,16,g,1,09/06/2002,11/30/2006
16034,3,1,can,436,g,1,12/23/2013,12/23/2013
16035,1,1,cup,184,g,1,12/23/2013,12/23/2013
16036,1,1,cup,177,g,1,12/23/2013,12/23/2013
16037,1,1,cup,208,g,1,12/23/2013,12/23/2013
16038,1,1,cup,182,g,1,12/23/2013,12/23/2013
16039,1,1,CUP,262,g,1,01/31/1994,11/30/2006
16040,1,1,cup,210,g,1,12/23/2013,12/23/2013
16041,1,1,CUP,169,g,1,09/30/1996,11/30/2006
16042,1,1,CUP,193,g,1,01/31/1994,11/30/2006
16042,2,1,TBSP,12,g,1,09/06/2002,11/30/2006
16043,1,1,CUP,171,g,1,01/31/1994,11/30/2006
16043,2,1,TBSP,10.6,g,1,09/06/2002,11/30/2006
16044,1,1,CUP,240,g,1,01/31/1994,11/30/2006
16044,2,1,can,442,g,1,12/23/2013,12/23/2013
16045,1,1,cup,215,g,1,12/23/2013,12/23/2013
16046,1,1,cup,179,g,1,12/23/2013,12/23/2013
16047,1,1,cup,196,g,1,12/23/2013,12/23/2013
16048,1,1,cup,177,g,1,12/23/2013,12/23/2013
16049,1,1,cup,202,g,1,12/23/2013,12/23/2013
16049,2,1,tbsp,12.6,g,1,12/23/2013,12/23/2013
16050,1,1,CUP,179,g,1,01/15/1998,11/30/2006
16050,2,1,TBSP,11.2,g,1,09/06/2002,11/30/2006
16051,1,1,cup,262,g,1,12/23/2013,12/23/2013
16052,1,1,cup,150,g,1,12/23/2013,12/23/2013
16052,2,1,tbsp,9.4,g,1,12/23/2013,12/23/2013
16053,1,1,cup,170,g,1,12/23/2013,12/23/2013
16054,1,1,cup,256,g,1,12/23/2013,12/23/2013
16055,1,1,cup,103,g,1,12/23/2013,12/23/2013
16055,2,1,tbsp,6,g,1,12/23/2013,12/23/2013
16056,1,1,cup,200,g,1,12/23/2013,12/23/2013
16056,2,1,tbsp,12.5,g,1,12/23/2013,12/23/2013
16057,1,1,cup,164,g,1,12/23/2013,12/23/2013
16058,1,1,CUP,240,g,1,01/31/1994,11/30/2006
16058,2,1,can (total can contents),448,g,1,12/23/2013,12/23/2013
16059,1,1,cup,256,g,1,12/23/2013,12/23/2013
16059,2,1,tbsp,16,g,1,12/23/2013,12/23/2013
16060,1,1,cup,167,g,1,12/23/2013,12/23/2013
16061,1,1,cup,171,g,1,12/23/2013,12/23/2013
16062,1,1,CUP,167,g,1,01/31/1994,11/30/2006
16062,2,1,TBSP,10.5,g,1,09/06/2002,11/30/2006
16063,1,1,cup,171,g,1,01/31/1994,01/18/2011
16064,1,1,CUP,240,g,1,01/31/1994,11/30/2006
16065,1,1,CUP,240,g,1,01/31/1994,11/30/2006
16067,1,1,cup,210,g,1,12/23/2013,12/23/2013
16068,1,1,cup,194,g,1,12/23/2013,12/23/2013
16069,1,1,CUP,192,g,1,01/31/1994,11/30/2006
16069,2,1,tablespoon,12,g,1,09/06/2002,01/07/2015
16070,1,1,CUP,198,g,1,01/31/1994,11/30/2006
16070,2,1,TBSP,12.3,g,1,09/06/2002,11/30/2006
16071,1,1,CUP,178,g,1,01/31/1994,11/30/2006
16071,2,1,TBSP,11.1,g,1,09/06/2002,11/30/2006
16072,1,1,CUP,188,g,1,01/31/1994,11/30/2006
16072,2,1,TBSP,11.7,g,1,09/06/2002,11/30/2006
16073,1,1,CUP,241,g,1,01/31/1994,11/30/2006
16074,1,1,CUP,202,g,1,01/31/1994,11/30/2006
16075,1,1,CUP,182,g,1,01/31/1994,11/30/2006
16076,1,1,cup,180,g,1,12/23/2013,12/23/2013
16077,1,1,cup,166,g,1,12/23/2013,12/23/2013
16078,1,1,cup,196,g,1,12/23/2013,12/23/2013
16079,1,1,cup,177,g,1,12/23/2013,12/23/2013
16080,1,1,cup,207,g,1,12/23/2013,12/23/2013
16080,2,1,tbsp,13,g,1,12/23/2013,12/23/2013
16081,1,1,CUP,202,g,1,09/30/1996,11/30/2006
16082,1,1,cup,140,g,1,12/23/2013,12/23/2013
16083,1,1,cup,207,g,1,12/23/2013,12/23/2013
16084,1,1,cup,180,g,1,12/23/2013,12/23/2013
16084,2,1,"oz dry, yield after cooking",69,g,1,12/23/2013,12/23/2013
16085,1,1,cup,196,g,1,01/31/1994,02/13/2019
16086,1,1,CUP,196,g,1,01/31/1994,11/30/2006
16086,2,1,TBSP,12.2,g,1,09/06/2002,11/30/2006
16087,1,1,oz,28.35,g,1,12/23/2013,01/07/2015
16087,2,1,cup,146,g,1,12/23/2013,01/07/2015
16088,1,1,"cup in shell, edible yield",63,g,1,09/29/1994,11/30/2006
16088,2,1,"cup, shelled",180,g,1,09/06/2002,11/30/2006
16088,3,1,oz shelled,28.35,g,1,09/06/2002,11/30/2006
16088,4,33,nuts,28,g,1,09/06/2002,11/30/2006
16089,1,1,"cup, chopped",144,g,1,09/29/1994,11/30/2006
16089,2,1,oz shelled (32 nuts),28.35,g,1,01/15/1998,01/07/2015
16090,1,1,oz,28.35,g,1,09/29/1994,11/30/2006
16090,2,1,peanut,1,g,1,03/22/1999,11/30/2006
16091,1,1,cup,146,g,1,12/23/2013,12/23/2013
16091,2,1,oz,28.35,g,1,12/23/2013,12/23/2013
16092,1,1,cup,147,g,1,12/23/2013,12/23/2013
16092,2,1,oz,28.35,g,1,12/23/2013,12/23/2013
16093,1,1,cup,146,g,1,12/23/2013,12/23/2013
16093,2,1,oz,28.35,g,1,12/23/2013,12/23/2013
16094,1,1,cup,144,g,1,12/23/2013,12/23/2013
16094,2,1,oz,28.35,g,1,12/23/2013,12/23/2013
16095,1,1,cup,146,g,1,12/23/2013,12/23/2013
16095,2,1,oz,28.35,g,1,12/23/2013,12/23/2013
16096,1,1,cup,143,g,1,12/23/2013,12/23/2013
16096,2,1,oz,28.35,g,1,12/23/2013,12/23/2013
16097,1,2,tbsp,32,g,1,01/31/1994,12/26/2013
16097,2,1,cup,258,g,1,01/15/1998,12/26/2013
16098,1,2,tbsp,32,g,1,01/31/1994,12/26/2013
16098,2,1,cup,258,g,1,08/29/1997,12/26/2013
16099,1,1,cup,60,g,1,12/23/2013,12/23/2013
16099,2,1,oz,28.35,g,1,12/23/2013,12/23/2013
16100,1,1,cup,60,g,1,12/23/2013,12/23/2013
16100,2,1,oz,28.35,g,1,12/23/2013,12/23/2013
16101,1,1,CUP,205,g,1,01/31/1994,11/30/2006
16102,1,1,CUP,168,g,1,01/31/1994,11/30/2006
16103,1,1,CUP,238,g,1,01/31/1994,02/11/2009
16103,2,1,can,442,g,1,09/06/2002,06/19/2015
16104,1,1,cup,144,g,1,12/23/2013,12/23/2013
16104,2,1,"oz cooked, yield",16,g,1,12/23/2013,12/23/2013
16104,3,1,strip,5,g,1,12/23/2013,12/23/2013
16106,1,1,CUP,88,g,1,11/17/1994,11/30/2006
16106,2,1,oz,28.35,g,1,08/29/1997,11/30/2006
16107,1,1,link,25,g,1,12/23/2013,12/23/2013
16107,2,1,patty,38,g,1,12/23/2013,12/23/2013
16107,3,1,slice,28,g,1,12/23/2013,12/23/2013
16108,1,1,cup,186,g,1,12/23/2013,12/23/2013
